P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
C33	K22	C46	-2.350980477020556	0.9906380094137002	0.380952380952381	113630.0	5.0	15418.0	3.0	1.0	1.0	16.0	0.0	8.0	23.0	0.0	0.0	2.0	0.0	0.0
C46	C33	K22	1.4693627981378474	0.07086724423956647	0.7222222222222222	113630.0	15418.0	1.0	8.0	0.0	5.0	3.0	1.0	16.0	23.0	2.0	0.0	0.0	0.0	0.0
C33	C46	B589	1.8099732804666693	0.03514991128834377	0.8333333333333334	131616.0	645.0	6.0	4.0	0.0	11.0	0.0	0.0	20.0	24.0	0.0	0.0	0.0	0.0	0.0
C33	B589	C46	-7.23989312186668	0.9999999999997738	0.5555555555555556	131616.0	6.0	645.0	4.0	0.0	11.0	20.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
C46	C33	B589	-1.4479786243733355	0.9261884418799688	1.3333333333333333	131616.0	645.0	11.0	0.0	0.0	6.0	4.0	0.0	20.0	24.0	0.0	0.0	0.0	0.0	0.0
C33	C46	Cooper	-1.157361241107126	0.8764375406821012	1.1538461538461537	131167.0	1367.0	9.0	0.0	0.0	9.0	2.0	0.0	17.0	27.0	0.0	0.0	0.0	0.0	0.0
C33	Cooper	C46	-9.83757054941057	1.0	0.46875	131167.0	9.0	1367.0	0.0	0.0	9.0	17.0	0.0	2.0	27.0	0.0	0.0	0.0	0.0	0.0
C46	C33	Cooper	1.3116760732547423	0.09481479363430378	0.8947368421052632	131167.0	1367.0	9.0	2.0	0.0	9.0	0.0	0.0	17.0	27.0	0.0	0.0	0.0	0.0	0.0
C33	Titanium	216_II	1.1575496877563496	0.12352398373313345	0.9056603773584906	130690.0	1246.5	61.0	3.5	1.0	1.0	1.0	0.0	25.0	22.0	0.0	0.0	0.0	0.0	0.0
C33	216_II	Titanium	-9.954927314704605	1.0	0.5274725274725274	130690.0	61.0	1246.5	3.5	1.0	1.0	25.0	0.0	1.0	22.0	0.0	0.0	0.0	0.0	0.0
Titanium	C33	216_II	-1.0369715952817298	0.8501254286504035	1.131578947368421	130690.0	1246.5	1.0	1.0	0.0	61.0	3.5	1.0	25.0	22.0	0.0	0.0	0.0	0.0	0.0
C33	Titanium	SP1777	2.3378913618192345	0.009696421853545467	0.7878787878787878	130455.5	1298.0	75.5	7.0	2.0	2.0	0.0	0.0	26.0	22.0	0.0	0.0	0.0	0.0	0.0
C33	SP1777	Titanium	-6.345705124937923	0.9999999998887986	0.5777777777777778	130455.5	75.5	1298.0	7.0	2.0	2.0	26.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
Titanium	C33	SP1777	-1.708459072098671	0.9562244344599378	1.5833333333333333	130455.5	1298.0	2.0	0.0	0.0	75.5	7.0	2.0	26.0	22.0	0.0	0.0	0.0	0.0	0.0
C33	Titanium	K22	2.337622911060922	0.009703388725736062	0.6	113294.0	15331.5	60.0	11.0	11.5	1.0	1.0	0.0	16.0	29.0	2.0	0.0	0.0	0.0	0.0
C33	K22	Titanium	-1.1688114555304605	0.8787601378149876	0.75	113294.0	60.0	15331.5	11.0	11.5	1.0	16.0	0.0	1.0	29.0	0.0	0.0	2.0	0.0	0.0
Titanium	C33	K22	-0.779207637020307	0.7820713579937963	-1.0	113294.0	15331.5	1.0	1.0	0.0	60.0	11.0	11.5	16.0	29.0	2.0	0.0	0.0	0.0	0.0
C33	Titanium	B589	2.0449617630938084	0.020429246771636267	0.8484848484848485	131535.0	637.5	75.5	5.0	2.0	2.0	0.0	0.0	28.0	24.0	0.0	0.0	0.0	0.0	0.0
C33	B589	Titanium	-9.40682411023151	1.0	0.5490196078431373	131535.0	75.5	637.5	5.0	2.0	2.0	28.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
Titanium	C33	B589	-1.6797900196841995	0.953500935086482	1.277777777777778	131535.0	637.5	2.0	0.0	0.0	75.5	5.0	2.0	28.0	24.0	0.0	0.0	0.0	0.0	0.0
C33	Titanium	Cooper	1.7908253745546288	0.036660610424049	0.8275862068965517	130697.5	1321.0	76.5	6.0	2.0	1.0	1.0	0.0	25.0	27.0	0.0	0.0	0.0	0.0	0.0
C33	Cooper	Titanium	-6.805136423307593	0.9999999999949227	0.5581395348837209	130697.5	76.5	1321.0	6.0	2.0	1.0	25.0	0.0	1.0	27.0	0.0	0.0	0.0	0.0	0.0
Titanium	C33	Cooper	-1.417736754855748	0.9218661316555228	1.3571428571428572	130697.5	1321.0	1.0	1.0	0.0	76.5	6.0	2.0	25.0	27.0	0.0	0.0	0.0	0.0	0.0
C33	216_II	SP1777	1.37883344356735	0.08397311490846382	0.0020768431983385254	130525.0	336.0	284.0	961.0	10.0	26.0	0.0	0.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	SP1777	216_II	-99999.9	1.0	-0.0020898641588296763	130525.0	284.0	336.0	961.0	10.0	26.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
216_II	C33	SP1777	-661.1506361905579	1.0	0.49947916666666664	130525.0	336.0	26.0	0.0	0.0	284.0	961.0	10.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	216_II	K22	-99999.9	1.0	-0.01090909090909091	113036.0	14651.0	437.0	564.0	149.0	14.0	8.0	1.0	2.0	20.0	1.0	0.0	0.0	0.0	0.0
C33	K22	216_II	1.8860137668816075	0.02964648513353718	0.01056338028169014	113036.0	437.0	14651.0	564.0	149.0	14.0	2.0	0.0	8.0	20.0	0.0	1.0	1.0	0.0	0.0
216_II	C33	K22	-174.77060906436338	1.0	0.5026833631484794	113036.0	14651.0	14.0	8.0	1.0	437.0	564.0	149.0	2.0	20.0	1.0	0.0	0.0	0.0	0.0
C33	216_II	B589	1.3745000729140842	0.08464330309912094	0.008988764044943821	130197.5	400.5	1025.5	220.5	5.0	26.0	0.0	0.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	B589	216_II	-99999.9	1.0	-0.009237875288683603	130197.5	1025.5	400.5	220.5	5.0	26.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
216_II	C33	B589	-150.16413296586268	1.0	0.4977220956719818	130197.5	400.5	26.0	0.0	0.0	1025.5	220.5	5.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	216_II	Cooper	3.148189836971766	0.0008214912959618736	0.0	130726.0	323.0	265.0	993.0	4.0	26.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	Cooper	216_II	3.148189836971766	0.0008214912959618736	0.0	130726.0	265.0	323.0	993.0	4.0	26.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
216_II	C33	Cooper	-3140.1417165450584	1.0	0.5	130726.0	323.0	26.0	0.0	0.0	265.0	993.0	4.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	SP1777	K22	-99999.9	1.0	-0.013445378151260505	112974.0	14584.0	453.0	611.0	152.0	16.0	8.0	1.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0
C33	K22	SP1777	2.793132961489323	0.002610071349330778	0.012924071082390954	112974.0	453.0	14584.0	611.0	152.0	16.0	0.0	0.0	8.0	22.0	0.0	1.0	1.0	0.0	0.0
SP1777	C33	K22	-210.53239697225777	1.0	0.5032948929159802	112974.0	14584.0	16.0	8.0	1.0	453.0	611.0	152.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0
C33	SP1777	B589	1.3743834345111279	0.08466139738267964	0.009174311926605503	129978.0	413.0	1106.0	216.0	6.0	28.0	0.0	0.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	B589	SP1777	-99999.9	1.0	-0.009433962264150943	129978.0	1106.0	413.0	216.0	6.0	28.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
SP1777	C33	B589	-147.0590274926917	1.0	0.49767441860465117	129978.0	413.0	28.0	0.0	0.0	1106.0	216.0	6.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	SP1777	Cooper	-99999.9	1.0	-0.001941747572815534	130630.0	306.0	309.0	1034.0	9.0	26.0	2.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	Cooper	SP1777	1.3789249481769656	0.0839590061181591	0.0019305019305019305	130630.0	309.0	306.0	1034.0	9.0	26.0	0.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
SP1777	C33	Cooper	-711.5252732593385	1.0	0.5004840271055179	130630.0	306.0	26.0	2.0	0.0	309.0	1034.0	9.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	K22	B589	2.673920455952056	0.0037485573505078307	0.03180212014134276	112940.5	259.5	15033.0	275.0	60.0	16.0	1.0	0.0	10.0	21.0	0.0	1.0	1.0	0.0	0.0
C33	B589	K22	-99999.9	1.0	-0.03515625	112940.5	15033.0	259.5	275.0	60.0	16.0	10.0	1.0	1.0	21.0	1.0	0.0	0.0	0.0	0.0
K22	C33	B589	-78.73210231414365	1.0	0.49165120593692024	112940.5	259.5	16.0	1.0	0.0	15033.0	275.0	60.0	10.0	21.0	0.0	1.0	0.0	1.0	0.0
C33	K22	Cooper	1.50132200378191	0.06663617755234053	0.007974481658692184	113103.0	451.0	14620.0	625.0	152.0	14.0	3.0	0.0	8.0	23.0	0.0	1.0	1.0	0.0	0.0
C33	Cooper	K22	-99999.9	1.0	-0.008169934640522876	113103.0	14620.0	451.0	625.0	152.0	14.0	8.0	1.0	3.0	23.0	1.0	0.0	0.0	0.0	0.0
K22	C33	Cooper	-185.26313526668724	1.0	0.4979822437449556	113103.0	451.0	14.0	3.0	0.0	14620.0	625.0	152.0	8.0	23.0	0.0	1.0	0.0	1.0	0.0
C33	B589	Cooper	-99999.9	1.0	-0.019305019305019305	130269.0	1070.0	367.0	269.0	3.0	26.0	5.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
C33	Cooper	B589	2.194521191853256	0.014098932066696657	0.018248175182481754	130269.0	367.0	1070.0	269.0	3.0	26.0	0.0	0.0	5.0	24.0	0.0	0.0	0.0	0.0	0.0
B589	C33	Cooper	-115.87071892985117	1.0	0.5046904315196998	130269.0	1070.0	26.0	5.0	0.0	367.0	269.0	3.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
C46	Titanium	216_II	0.646635826864721	0.25893377095046954	0.9090909090909091	130730.0	1249.5	112.0	3.5	2.0	7.0	2.0	0.0	17.0	23.0	0.0	0.0	0.0	0.0	0.0
C46	216_II	Titanium	-5.81972244178249	0.999999997043435	0.5263157894736842	130730.0	112.0	1249.5	3.5	2.0	7.0	17.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
Titanium	C46	216_II	-0.5819722441782489	0.7197073527659212	1.125	130730.0	1249.5	7.0	2.0	0.0	112.0	3.5	2.0	17.0	23.0	0.0	0.0	0.0	0.0	0.0
C46	Titanium	SP1777	2.3457622584540743	0.009494088741651474	0.6923076923076923	130546.5	1304.0	127.5	8.0	2.0	9.0	0.0	0.0	18.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	SP1777	Titanium	-2.9322028230675925	0.9983170975907143	0.6428571428571429	130546.5	127.5	1304.0	8.0	2.0	9.0	18.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
Titanium	C46	SP1777	-1.3032012546967078	0.9037469014041586	5.0	130546.5	1304.0	9.0	0.0	0.0	127.5	8.0	2.0	18.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	Titanium	K22	2.494966530851313	0.006298464306872198	0.3529411764705882	113334.0	15331.5	89.0	25.0	17.5	5.0	3.0	1.0	15.0	24.0	2.0	0.0	0.0	0.0	0.0
C46	K22	Titanium	-99999.9	1.0	6.000000000000001	113334.0	89.0	15331.5	25.0	17.5	5.0	15.0	0.0	3.0	24.0	0.0	1.0	2.0	0.0	0.0
Titanium	C46	K22	-2.0791387757094273	0.9811977660627338	0.3125	113334.0	15331.5	5.0	3.0	1.0	89.0	25.0	17.5	15.0	24.0	2.0	0.0	0.0	0.0	0.0
C46	Titanium	B589	1.0151599460048777	0.15501481078421941	0.8421052631578947	131575.0	634.5	127.5	6.0	2.0	7.0	3.0	0.0	19.0	25.0	0.0	0.0	0.0	0.0	0.0
C46	B589	Titanium	-4.399026432687804	0.9999945586970356	0.5517241379310345	131575.0	127.5	634.5	6.0	2.0	7.0	19.0	0.0	3.0	25.0	0.0	0.0	0.0	0.0	0.0
Titanium	C46	B589	-0.8248174561289631	0.7952624365613291	1.3	131575.0	634.5	7.0	3.0	0.0	127.5	6.0	2.0	19.0	25.0	0.0	0.0	0.0	0.0	0.0
C46	Titanium	Cooper	2.0512338872498006	0.02012202084921688	0.6956521739130435	130772.5	1326.0	127.5	8.0	2.0	8.0	1.0	0.0	17.0	27.0	0.0	0.0	0.0	0.0	0.0
C46	Cooper	Titanium	-2.637300712178314	0.9958215241513446	0.64	130772.5	127.5	1326.0	8.0	2.0	8.0	17.0	0.0	1.0	27.0	0.0	0.0	0.0	0.0	0.0
Titanium	C46	Cooper	-1.1538190615780126	0.8757127637840212	4.499999999999999	130772.5	1326.0	8.0	1.0	0.0	127.5	8.0	2.0	17.0	27.0	0.0	0.0	0.0	0.0	0.0
C46	216_II	SP1777	1.7014206224257513	0.04443198597712705	0.0030895983522142125	131715.0	339.0	286.0	968.0	10.0	24.0	0.0	0.0	3.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	SP1777	216_II	-99999.9	1.0	-0.0031185031185031187	131715.0	286.0	339.0	968.0	10.0	24.0	3.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
216_II	C46	SP1777	-547.2903002136245	1.0	0.4992240041386446	131715.0	339.0	24.0	0.0	0.0	286.0	968.0	10.0	3.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	216_II	K22	-99999.9	1.0	-0.0035650623885918006	113951.0	14869.0	440.0	568.0	149.0	16.0	5.0	2.0	3.0	21.0	1.0	0.0	0.0	0.0	0.0
C46	K22	216_II	0.7033554527632856	0.2409170612881013	0.0035273368606701942	113951.0	440.0	14869.0	568.0	149.0	16.0	3.0	0.0	5.0	21.0	0.0	2.0	1.0	0.0	0.0
216_II	C46	K22	-197.99455995286365	1.0	0.500886524822695	113951.0	14869.0	16.0	5.0	2.0	440.0	568.0	149.0	3.0	21.0	1.0	0.0	0.0	0.0	0.0
C46	216_II	B589	0.4947180272721664	0.31039958866125417	0.0	131340.5	401.5	1035.5	219.5	5.0	22.0	2.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
C46	B589	216_II	0.4947180272721664	0.31039958866125417	0.0	131340.5	1035.5	401.5	219.5	5.0	22.0	2.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
216_II	C46	B589	-107.41559363564332	1.0	0.5	131340.5	401.5	22.0	2.0	0.0	1035.5	219.5	5.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
C46	216_II	Cooper	0.9530727322696553	0.17027660177037318	0.0009990009990009992	131904.0	327.0	267.0	1000.0	4.0	24.0	0.0	0.0	1.0	24.0	0.0	0.0	0.0	0.0	0.0
C46	Cooper	216_II	-99999.9	1.0	-0.001002004008016032	131904.0	267.0	327.0	1000.0	4.0	24.0	1.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0
216_II	C46	Cooper	-952.1196595374654	1.0	0.4997498749374687	131904.0	327.0	24.0	0.0	0.0	267.0	1000.0	4.0	1.0	24.0	0.0	0.0	0.0	0.0	0.0
C46	SP1777	K22	-99999.9	1.0	-0.008223684210526315	113925.0	14814.0	456.0	618.0	152.0	20.0	5.0	2.0	0.0	21.0	1.0	0.0	0.0	0.0	0.0
C46	K22	SP1777	2.205480427669856	0.013710152770795347	0.008025682182985553	113925.0	456.0	14814.0	618.0	152.0	20.0	0.0	0.0	5.0	21.0	0.0	2.0	1.0	0.0	0.0
SP1777	C46	K22	-270.39190043232884	1.0	0.5020308692120227	113925.0	14814.0	20.0	5.0	2.0	456.0	618.0	152.0	0.0	21.0	1.0	0.0	0.0	0.0	0.0
C46	SP1777	B589	-99999.9	1.0	-0.01923076923076923	131175.0	412.0	1118.0	216.0	6.0	24.0	4.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	B589	SP1777	1.958278656629069	0.025098592917718432	0.01818181818181818	131175.0	1118.0	412.0	216.0	6.0	24.0	0.0	0.0	4.0	22.0	0.0	0.0	0.0	0.0	0.0
SP1777	C46	B589	-103.78876880134051	1.0	0.5046728971962616	131175.0	412.0	24.0	4.0	0.0	1118.0	216.0	6.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	SP1777	Cooper	-99999.9	1.0	-0.0019230769230769232	131824.0	309.0	311.0	1044.0	9.0	26.0	2.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	Cooper	SP1777	1.3789364877011792	0.08395722700384034	0.0019120458891013384	131824.0	311.0	309.0	1044.0	9.0	26.0	0.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0
SP1777	C46	Cooper	-718.4259100923334	1.0	0.5004793863854268	131824.0	309.0	26.0	2.0	0.0	311.0	1044.0	9.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
C46	K22	B589	0.3151790275197102	0.3763129330849466	0.0	113859.5	257.5	15256.0	276.0	60.0	16.0	5.0	0.0	5.0	22.0	0.0	2.0	1.0	0.0	0.0
C46	B589	K22	0.3151790275197102	0.3763129330849466	0.0	113859.5	15256.0	257.5	276.0	60.0	16.0	5.0	2.0	5.0	22.0	1.0	0.0	0.0	0.0	0.0
K22	C46	B589	-85.27242308398328	1.0	0.5	113859.5	257.5	16.0	5.0	0.0	15256.0	276.0	60.0	5.0	22.0	0.0	2.0	0.0	1.0	0.0
C46	K22	Cooper	0.7032909834899452	0.24093714518937226	0.0031645569620253164	114040.0	455.0	14845.0	633.0	152.0	18.0	3.0	0.0	5.0	22.0	0.0	2.0	1.0	0.0	0.0
C46	Cooper	K22	-99999.9	1.0	-0.0031948881789137383	114040.0	14845.0	455.0	633.0	152.0	18.0	5.0	2.0	3.0	22.0	1.0	0.0	0.0	0.0	0.0
K22	C46	Cooper	-220.8333688158422	1.0	0.49920508744038156	114040.0	455.0	18.0	3.0	0.0	14845.0	633.0	152.0	5.0	22.0	0.0	2.0	0.0	1.0	0.0
C46	B589	Cooper	0.37579688843759734	0.35353400887312203	0.0037313432835820895	131455.0	1082.0	365.0	270.0	3.0	22.0	3.0	0.0	4.0	25.0	0.0	0.0	0.0	0.0	0.0
C46	Cooper	B589	-99999.9	1.0	-0.0037735849056603774	131455.0	365.0	1082.0	270.0	3.0	22.0	4.0	0.0	3.0	25.0	0.0	0.0	0.0	0.0	0.0
B589	C46	Cooper	-99.96197232440038	1.0	0.49906191369606	131455.0	1082.0	22.0	3.0	0.0	365.0	270.0	3.0	4.0	25.0	0.0	0.0	0.0	0.0	0.0
Titanium	216_II	SP1777	0.7906733179224161	0.21456726314642594	0.0015831134564643799	130186.0	320.0	282.5	947.0	10.0	132.0	1.0	0.0	2.5	24.0	0.0	2.0	0.0	0.0	0.0
Titanium	SP1777	216_II	-99999.9	1.0	-0.0015906680805938495	130186.0	282.5	320.0	947.0	10.0	132.0	2.5	2.0	1.0	24.0	0.0	0.0	0.0	0.0	0.0
216_II	Titanium	SP1777	-497.86063251848066	1.0	0.49960327955567313	130186.0	320.0	132.0	1.0	0.0	282.5	947.0	10.0	2.5	24.0	0.0	2.0	0.0	0.0	0.0
Titanium	216_II	K22	-99999.9	1.0	-0.036893203883495145	112783.0	14599.0	434.0	555.0	145.5	92.0	21.0	15.0	2.0	21.0	2.5	0.0	0.0	1.0	0.0
Titanium	K22	216_II	3.9096988479342154	4.622434440948453e-05	0.03321678321678322	112783.0	434.0	14599.0	555.0	145.5	92.0	2.0	0.0	21.0	21.0	0.0	15.0	2.5	1.0	0.0
216_II	Titanium	K22	-109.88311498930874	1.0	0.5087396504139835	112783.0	14599.0	92.0	21.0	15.0	434.0	555.0	145.5	2.0	21.0	2.5	0.0	1.0	0.0	0.0
Titanium	216_II	B589	-99999.9	1.0	-0.0023364485981308414	130217.0	397.0	1020.0	216.5	5.0	130.0	2.0	1.0	1.5	25.0	0.0	2.0	0.0	0.0	0.0
Titanium	B589	216_II	0.2637441072915236	0.39598861327831436	0.002320185614849188	130217.0	1020.0	397.0	216.5	5.0	130.0	1.5	2.0	2.0	25.0	0.0	1.0	0.0	0.0	0.0
216_II	Titanium	B589	-113.1462220280642	1.0	0.5005820721769499	130217.0	397.0	130.0	2.0	1.0	1020.0	216.5	5.0	1.5	25.0	0.0	2.0	0.0	0.0	0.0
Titanium	216_II	Cooper	-99999.9	1.0	-0.0015360983102918587	130380.0	310.0	262.5	980.0	4.0	131.0	2.0	0.0	0.5	26.0	0.0	2.0	0.0	0.0	0.0
Titanium	Cooper	216_II	0.9301504832187462	0.17614657014039303	0.0015290519877675843	130380.0	262.5	310.0	980.0	4.0	131.0	0.5	2.0	2.0	26.0	0.0	0.0	0.0	0.0	0.0
216_II	Titanium	Cooper	-606.4581150586232	1.0	0.5003831417624522	130380.0	310.0	131.0	2.0	0.0	262.5	980.0	4.0	0.5	26.0	0.0	2.0	0.0	0.0	0.0
Titanium	SP1777	K22	-99999.9	1.0	-0.03896103896103896	112716.0	14537.5	444.0	582.0	147.0	103.0	22.0	17.5	1.0	26.0	2.0	1.0	0.0	1.0	0.0
Titanium	K22	SP1777	4.305858156197209	8.32298369979334e-06	0.03488372093023256	112716.0	444.0	14537.5	582.0	147.0	103.0	1.0	1.0	22.0	26.0	0.0	17.5	2.0	1.0	0.0
SP1777	Titanium	K22	-114.82288416525917	1.0	0.5092024539877301	112716.0	14537.5	103.0	22.0	17.5	444.0	582.0	147.0	1.0	26.0	2.0	1.0	1.0	0.0	0.0
Titanium	SP1777	B589	0.7044200996986322	0.24058552705021208	0.009523809523809525	129992.0	407.5	1079.0	211.0	6.0	142.5	3.0	1.0	5.0	25.0	0.0	1.0	0.0	1.0	0.0
Titanium	B589	SP1777	-99999.9	1.0	-0.00980392156862745	129992.0	1079.0	407.5	211.0	6.0	142.5	5.0	1.0	3.0	25.0	0.0	1.0	0.0	1.0	0.0
SP1777	Titanium	B589	-72.55527026895919	1.0	0.4975845410628019	129992.0	407.5	142.5	3.0	1.0	1079.0	211.0	6.0	5.0	25.0	0.0	1.0	1.0	0.0	0.0
Titanium	SP1777	Cooper	-99999.9	1.0	-0.0010090817356205853	130275.5	305.0	299.0	995.0	9.0	146.5	3.0	0.0	2.0	28.0	0.0	0.0	0.0	2.0	0.0
Titanium	Cooper	SP1777	0.4429428517712101	0.3289035646558618	0.0010060362173038228	130275.5	299.0	305.0	995.0	9.0	146.5	2.0	0.0	3.0	28.0	0.0	0.0	0.0	2.0	0.0
SP1777	Titanium	Cooper	-439.399308957033	1.0	0.5002518891687657	130275.5	305.0	146.5	3.0	0.0	299.0	995.0	9.0	2.0	28.0	0.0	0.0	2.0	0.0	0.0
Titanium	K22	B589	4.0549254950997415	2.508787318378225e-05	0.07534246575342467	112952.0	253.0	15007.5	273.0	59.0	100.0	3.0	1.0	25.0	24.0	0.0	17.5	2.0	1.0	0.0
Titanium	B589	K22	-99999.9	1.0	-0.09734513274336284	112952.0	15007.5	253.0	273.0	59.0	100.0	25.0	17.5	3.0	24.0	2.0	1.0	0.0	1.0	0.0
K22	Titanium	B589	-45.710069217487984	1.0	0.47876447876447875	112952.0	253.0	100.0	3.0	1.0	15007.5	273.0	59.0	25.0	24.0	0.0	17.5	1.0	2.0	0.0
Titanium	K22	Cooper	3.6261590359564115	0.00014386943132582708	0.03079416531604538	112840.0	446.0	14566.5	602.0	147.0	101.0	4.0	1.0	23.0	26.0	0.0	17.5	2.0	1.0	0.0
Titanium	Cooper	K22	-99999.9	1.0	-0.03392857142857143	112840.0	14566.5	446.0	602.0	147.0	101.0	23.0	17.5	4.0	26.0	2.0	1.0	0.0	1.0	0.0
K22	Titanium	Cooper	-110.50242535888185	1.0	0.491928632115548	112840.0	446.0	101.0	4.0	1.0	14566.5	602.0	147.0	23.0	26.0	0.0	17.5	1.0	2.0	0.0
Titanium	B589	Cooper	-99999.9	1.0	-0.015748031496062992	130272.0	1053.0	362.5	263.0	3.0	143.5	5.0	1.0	1.0	30.0	0.0	1.0	0.0	1.0	0.0
Titanium	Cooper	B589	1.6156510560747426	0.05308488412314172	0.015037593984962405	130272.0	362.5	1053.0	263.0	3.0	143.5	1.0	1.0	5.0	30.0	0.0	1.0	0.0	1.0	0.0
B589	Titanium	Cooper	-104.20949311682016	1.0	0.5038461538461538	130272.0	1053.0	143.5	5.0	1.0	362.5	263.0	3.0	1.0	30.0	0.0	1.0	1.0	0.0	0.0
216_II	SP1777	K22	2.7138753179624553	0.003325110702438683	0.8583333333333333	113713.0	14705.0	170.0	102.0	30.0	164.0	68.0	32.0	274.0	514.0	116.0	3.0	4.0	1.0	0.0
216_II	K22	SP1777	-13.729016314398299	1.0	0.544973544973545	113713.0	170.0	14705.0	102.0	30.0	164.0	274.0	3.0	68.0	514.0	4.0	32.0	116.0	1.0	0.0
SP1777	216_II	K22	-2.2659541489783606	0.9882729402302881	1.2463768115942029	113713.0	14705.0	164.0	68.0	32.0	170.0	102.0	30.0	274.0	514.0	116.0	3.0	1.0	4.0	0.0
216_II	SP1777	B589	-0.20790877083763135	0.582349869065875	1.0013623978201636	130850.0	394.0	318.0	11.0	0.0	274.0	12.0	1.0	747.0	227.0	4.0	8.0	2.0	0.0	0.0
