Position in alignment,BHV5 - BHV5,BHV5 - C33,BHV5 - C46,BHV5 - Titanium_IBR_MLV_vaccine,BHV5 - 216_II,BHV5 - K22,BHV5 - B589,BHV5 - Cooper
5400,0,0.700000002980232,0.700000002980232,0.700000002980232,9.03333334624767,1.83333334326744,73.3333333432674,0.700000002980232
5500,0,0.366666674613953,0.366666674613953,0.366666674613953,0.16666667163372,5.5,92.866666674614,0.366666674613953
5600,0,0.366666674613953,0.366666674613953,0.366666674613953,2.16666667163372,7,89.366666674614,0.366666674613953
5700,0,0.366666674613953,0.366666674613953,0.366666674613953,0.16666667163372,8.5,89.866666674614,0.366666674613953
5800,0,0.200000002980232,0.200000002980232,0.200000002980232,0.5,0.5,91.2000000029802,0.200000002980232
5900,0,0,0,0,0,1.5,91.5,0
6000,0,0,0,0,0,23,63,0
6100,0,0,0,0,0,11,55,0
6200,0,0,0,0,0,8.5,30.5,0
6300,0,0,0,0,0,7.5,28.5,0
6400,0,0,0,0,0,52,16,0
6500,0,0,0,0,0,18.5,11.5,0
6600,0,0,0,0,0,38,8,0
6700,0,0,0,0,0,69,1,0
6800,0,0,0,0,0,31,1,0
6900,0,0,0,0,0,53,9,0
7000,0,0,0,0,0,48,24,0
7100,0,0,0,0,0,61.5,15.5,0
7200,0,0,0,0,0,9,69,0
7300,0,0,0,0,0,17.5,72.5,0
7400,0,0,0,0,0,2,90,0
7500,0,0,0,0,0,0,93,0
7600,0,0,0,0,0,7.5,87.5,0
7700,0,0,0,0,0,21,73,0
7800,0,0,0,0,0,17,72,0
7900,0,0,0,0,0,35.5,58.5,0
8000,0,0,0,0,0,29.5,36.5,0
8100,0,0,0,0,0,35,32,0
8200,0,0,0,0,0,64.5,16.5,0
8300,0,0,0,0,0,59.5,9.5,0
8400,0,0,0,0,0,65.5,13.5,0
8500,0,0,0,0,0,22,53,0
8600,0,0,0,0,0,34.5,39.5,0
8700,0,0,0,0,0,9.5,59.5,0
8800,0,0,0,0,0,23,57,0
8900,0,0,0,0,0,25,39,0
9000,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,28.5,36.5,0.200000002980232
9100,0,0,0,0,0,44,21,0
9200,0,0.509523823857307,0.509523823857307,0.509523823857307,0.509523823857307,14.3095238208771,4.14285714924335,0.509523823857307
9300,0,1.90000003576279,1.90000003576279,1.90000003576279,1.90000003576279,63.5000000149012,0,1.90000003576279
9400,0,1.63333337008953,1.63333337008953,1.63333337008953,1.63333337008953,55.8333333581686,0,1.63333337008953
9500,0,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,73.6666666865349,0,0.666666686534882
9600,0,2.23333337903023,2.23333337903023,2.23333337903023,0.833333358168602,90.2333333790302,0,2.23333337903023
9700,0,1.3333333581686,1.3333333581686,1.3333333581686,0.333333343267441,93.3333333581686,1,1.3333333581686
9800,0,0.676190495491028,0.676190495491028,0.676190495491028,0.476190492510796,94.676190495491,2.14285714924335,0.676190495491028
9900,0,0.566666677594185,0.566666677594185,0.566666677594185,0,95.0666666775942,2.66666667163372,0.566666677594185
10000,0,0,0,0,0,98,2,0
10100,0,0,0,0,0,97,3,0
10200,0,0,0,0,0,87,13,0
10300,0,0,0,0,0,80.5,17.5,0
10400,0,0,0,0,0,77,22,0
10500,0,0,0,0,0,70,26,0
10600,0,0,0,0,0,73,24,0
10700,0,0,0,0,0,75.5,17.5,0
10800,0,0.966666683554649,0.966666683554649,0.966666683554649,0.966666683554649,28.5,27.6666666716337,0.966666683554649
10900,0,3.30000005662441,3.30000005662441,3.30000005662441,3.30000005662441,5.16666667163372,32.3333333432674,3.30000005662441
11000,0,1.57619051635265,1.57619051635265,1.57619051635265,1.57619051635265,16.976190507412,20.1428571492434,1.57619051635265
11100,0,0.509523823857307,0.509523823857307,0.509523823857307,0.509523823857307,55.3095238208771,7.14285714924335,0.509523823857307
11200,0,0.70952382683754,0.70952382683754,0.70952382683754,0.70952382683754,49.3095238208771,2.14285714924335,0.70952382683754
11300,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,29.5,0.5,0.200000002980232
11400,0,0.333333343267441,0.333333343267441,0.333333343267441,0.333333343267441,40.8333333432674,0.5,0.333333343267441
11500,0,0,0,0,0,31.5,0.5,0
11600,0,0.142857149243355,0.142857149243355,0.142857149243355,0.142857149243355,11.1428571492434,1.14285714924335,0.142857149243355
11700,0,0,0,0,0,24,0,0
11800,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,32.1666666716337,0,0.16666667163372
11900,0,0.642857164144516,0.642857164144516,0.642857164144516,0.642857164144516,0.642857164144516,0.142857149243355,0.642857164144516
12000,0,0,0,0,0,13,0,0
12100,0,0,0,0,0,16,0,0
12200,0,0,0,0,0,17,0,0
12300,0,0,0,0,0,10,0,0
12400,0,0,0,0,0,33,0,0
12500,0,0,0,0,0,19.5,0.5,0
12600,0,0,0,0,0,5,0,0
12700,0,0,0,0,0,4.5,0.5,0
12800,0,0,0,0,0,2,0,0
12900,0,0,0,0,0,2.5,2.5,0
13000,0,0,0,0,0,43.5,3.5,0
13100,0,0,0,0,0,22,22,0
13200,0,5,0,0,0,27,25,0
13300,2,0,0,0,0,16.5,19.5,0
13400,7.83333334326744,0,0,0,0,5.83333334326744,28.3333333432674,0
13500,2,0,0,0,0,12.5,79.5,0
13600,1.5,0,0,0,0,10.5,67,0
13700,4.66666668653488,0,0,0,0,10.1666666865349,58.1666666865349,0
13800,0,0,0,0,0,0.5,57.5,0
13900,0,0,0,0,0,1.5,36.5,0
14000,0.5,0,0,0,0,0.5,26,0
14100,0,0.400000005960464,0.400000005960464,0.400000005960464,0,0,43.4000000059605,0.400000005960464
14200,0.666666686534882,0,0,0,0,0.666666686534882,34.6666666865349,0
14300,1.07738098502159,0.910714313387871,0.910714313387871,0.910714313387871,0.125,7.07738099992275,7.07738099992275,0.910714313387871
14400,2.57142865657806,2.19047626852989,2.19047626852989,2.19047626852989,0.28571429848671,13.1904763281345,13.1904763281345,2.19047626852989
14500,1.58333337306976,1.39285719394684,1.39285719394684,1.39285719394684,1.39285719394684,18.7261905670166,18.7261905670166,1.39285719394684
14600,1.75000002980232,6.7500002682209,6.7500002682209,6.7500002682209,6.7500002682209,32.2500002980232,32.2500002980232,6.7500002682209
14700,12.3750003576279,1.66071434319019,1.66071434319019,1.66071434319019,1.66071434319019,39.6607147008181,39.6607147008181,1.66071434319019
14800,15.4761906415224,0.761904790997505,0.761904790997505,0.761904790997505,2.92857147753239,64.0952382832766,14.4523811042309,0.761904790997505
14900,0,0.309523820877075,0.309523820877075,0.309523820877075,2.64285716414452,85.6428571641445,10.4761904925108,0.309523820877075
15000,0,0.476190492510796,0.476190492510796,0.476190492510796,2.64285717904568,77.1428571790457,18.3095238357782,0.476190492510796
15100,0,0.533333346247673,0.533333346247673,0.533333346247673,0.500000014901161,55.8666666895151,6.50000001490116,0.533333346247673
15200,0,0.366666674613953,0.366666674613953,0.366666674613953,0.16666667163372,59.366666674614,10,0.366666674613953
15300,0,0.333333343267441,0.333333343267441,0.333333343267441,0.16666667163372,52.3333333432674,8.16666667163372,0.333333343267441
15400,0,0,0,0,0,29.5,4.5,0
15500,0,0,0,0,0.5,28.5,2,0
15600,0,0,0,0,0,1,1,0
15700,0,0,0,0,0,0.5,0.5,0
15800,0,0,0,0,0,1,1,0
15900,0,0,0,0,0,1.5,1.5,0
16000,0,0,0,0,0,10.5,0.5,0
16100,0,0,0,0,0,9,0,0
16200,0,0,0,0,0,33,0,0
16300,0,0,0,0,0,16,0,0
16400,0,0,0,0,0,43,0,0
16500,0,0,0,0,0,64,1,0
16600,0,0,0,0,0,60.5,0.5,0
16700,0,0,0,0,0,32,0,0
16800,0,0,0,0,2,2,0,0
16900,0,0,0,0,1,3,0,0
17000,0,0,0,0,11,2.5,0.5,0
17100,0,0,0,0,6,7,0,0
17200,0,0,0,0,2,1,0,0
17300,0,0,0,0,3,1.5,1.5,0
17400,0,0,0,0,0,1.5,0.5,0
17500,0,0,0,0,1,14.5,1.5,0
17600,0,0,0,0,0,20.5,16.5,0
17700,0,0,0,0,0,16,48,0
17800,0,0,0,0,0,11,24,0
17900,0,0,0,0,0,4,31,0
18000,0,0,0,0,0.5,21,16.5,0
18100,0,0,0,0,0,22,27,0
18200,0,0,0,0,0,9.5,56.5,0
18300,0,0,0,0,0,18.5,42.5,0
18400,0,0,0,0,0,8.5,47.5,0
18500,0,0,0,0,0,19.5,42.5,0
18600,0,0,0,0,0,34,29,0
18700,0,0,0,0,0,41,18,0
18800,0,0,0,0,0,49,4,0
18900,0,0,0,0,0,44,0,0
19000,0,0,0,0,0,55,0,0
19100,0,0,0,0,0,73,0,0
19200,0,0,0,0,0,81,0,0
19300,0,0,0,0,0,76,0,0
19400,0,0,0,0,0,75,0,0
19500,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,59.1666666716337,0,0.16666667163372
19600,0,0.309523820877075,0.309523820877075,0.309523820877075,0.309523820877075,73.3095238208771,0.142857149243355,0.309523820877075
19700,0,0,0,0,0,69,0,0
19800,0,4.83333334326744,0,0,0.333333343267441,74.8333333432674,2,0
19900,0,13.0333334058523,1.95000003278255,1.95000003278255,4.68333339691162,21.9833333790302,10.4500000178814,1.95000003278255
20000,0,11.4500000625849,0.450000002980232,0.450000002980232,25.0333334058523,6.83333337306976,16.3333333730698,0.450000002980232
20100,0,12.3666667193174,0.450000002980232,0.450000002980232,17.4500000625849,3.08333334326744,18.7500000596046,0.450000002980232
20200,0,2.73333334922791,0.400000005960464,0.400000005960464,13.8666666895151,2.83333334326744,53.3666666895151,0.400000005960464
20300,0,4.9333333671093,0.766666680574417,0.766666680574417,32.9333333671093,2.33333334326744,36.5000000149012,0.766666680574417
20400,0,3.16666668653488,0,0,43.6666666865349,0.5,18.6666666865349,0
20500,0,0,0,0,42.3333333432674,3.83333334326744,6.83333334326744,0
20600,0,0,0,0,39.5,4.5,0,0
20700,0,0.200000002980232,0.200000002980232,0.200000002980232,21.7000000029802,12.5,8,0.200000002980232
20800,0,0,0,0,20,45.5,8.5,0
20900,0,0,0,0,21.5,61.5,3,0
21000,0,0,0,0,13,66,0,0
21100,0,0,0,0,6.5,83.5,1,0
21200,0,0,0,0,0.5,97.5,1,0
21300,0,0,0,0,1.5,81.5,9,0
21400,0,0,0,0,0.5,80,13.5,0
21500,0,0,0,0,2,75.5,11.5,0
21600,0,0,0,0,0,75,20,0
21700,0,0,0,0,0,64.5,21.5,0
21800,0,0,0,0,0,61,21,0
21900,0,0,0,0,0,40,35,0
22000,0,0,0,0,0,25,66,0
22100,0,0,0,0,0,20,64,0
22200,0,0,0,0,0,23,69,0
22300,0,0,0,0,0,20,64,0
22400,0,0,0,0,0,2,83,0
22500,0,0,0,0,0,3.5,81.5,0
22600,0,0.25,0.25,0.25,0,0,93.25,0
22700,0,0,0,0,0,0.5,93.5,0
22800,0,0.200000002980232,0.200000002980232,0.200000002980232,0,0.5,82.7000000029802,0.200000002980232
22900,0,0.25,0.25,0.25,0,4,43.25,0
23000,0,0,0,0,0,5,35,0
23100,0,0,0,0,0,8,45,0
23200,0,0,0,0,0,5.5,52.5,0
23300,0,0,0,0,0,14.5,36.5,0
23400,0,0,0,0,0,43.5,7.5,0
23500,0,0,0,0,0,29,3,0
23600,0,0,0,0,0,50,5,0
23700,0,0,0,0,0,58.5,5.5,0
23800,0,1.15000002086163,1.15000002086163,1.15000002086163,0.500000014901161,67.9000000208616,9,1.15000002086163
23900,0,2.95000003278255,2.95000003278255,2.95000003278255,0.533333346247673,55.6333333551884,5.03333334624767,2.95000003278255
24000,0,2.59523817896843,2.59523817896843,2.59523817896843,2.59523817896843,84.0952381789684,2.92857144773006,2.59523817896843
24100,0,16.3095243275166,16.3095243275166,16.3095243275166,16.3095243275166,16.3095243275166,2.14285723865032,16.3095243275166
24200,0,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355
24300,0,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355
24400,0,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355
24500,0,5.28571452200413,5.28571452200413,5.28571452200413,5.28571452200413,36.7857145220041,36.7857145220041,5.28571452200413
24600,0,1.14285719394684,1.14285719394684,1.14285719394684,1.14285719394684,47.1428571939468,47.1428571939468,1.14285719394684
24700,0,0.28571429848671,0.28571429848671,0.28571429848671,0.28571429848671,49.2857142984867,49.2857142984867,0.28571429848671
24800,0,0,0,0,0,50,50,0
24900,0,0,0,0,0,81.5,18.5,0
25000,0,0,0,0,0,82.5,17.5,0
25100,0,0,0,0,0,82,18,0
25200,0,0,0,0,0,82,18,0
25300,0,0,0,0,0,82,18,0
25400,0,0,0,0,0,84,16,0
25500,0,0,0,0,0,76,24,0
25600,0,0,0,0,0,80,20,0
25700,0,0,0,0,0,50,50,0
25800,0,0,0,0,0,50,50,0
25900,0,0,0,0,0,50,50,0
26000,0,0.500000014901161,0.500000014901161,0.500000014901161,0,49.0000000149012,49.0000000149012,0.500000014901161
26100,0,0.928571462631226,0.928571462631226,0.928571462631226,0.428571447730064,47.9285714626312,47.9285714626312,0.928571462631226
26200,0,0.45238097012043,0.45238097012043,0.45238097012043,0.28571429848671,48.9523809701204,48.9523809701204,0.45238097012043
26300,0,1.7142857760191,1.7142857760191,1.7142857760191,0.714285746216774,46.2142857760191,46.2142857760191,1.7142857760191
26400,0,2.64285723865032,2.64285723865032,2.64285723865032,1.14285719394684,44.1428572386503,44.1428572386503,2.64285723865032
26500,0,3.00000010430813,3.00000010430813,3.00000010430813,12.6666668206453,6.16666676104069,69.1666668206453,3.00000010430813
26600,0,0.785714313387871,2.55238100886345,2.55238100886345,13.3857143819332,5.28571434319019,72.8857143819332,2.55238100886345
26700,0,1.00000002980232,2.00000004470348,2.00000004470348,13.1666667312384,2.16666668653488,77.6666667312384,2.00000004470348
26800,0,3.3666667342186,8.71666675806046,8.71666675806046,55.2166667580605,0.900000005960464,14.3666667193174,8.71666675806046
26900,0,1.26666669547558,3.71666671335697,3.71666671335697,32.716666713357,1.66666667163372,43.2000000327826,3.71666671335697
27000,0,0,0.25,0.25,2.25,0,28,0.25
27100,0,0,0,0,5,0.5,26.5,0
27200,0,0,0,0,2.5,1,26.5,0
27300,0,0,0,0,0,4.5,9.5,0
27400,0,0,0,0,0,1.5,3.5,0
27500,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,8,6,0.200000002980232
27600,0,0,0,0,0,2,1,0
27700,0,0,0,0,0,8.5,0.5,0
27800,0,1.15000002086163,0.366666674613953,1.15000002086163,1.15000002086163,11.9500000029802,10.866666674614,0.366666674613953
27900,0,0.200000002980232,0,0.200000002980232,0.200000002980232,1.20000000298023,16.2000000029802,0
28000,0,3.22857147455215,0.928571462631226,3.22857147455215,3.22857147455215,6.22857145965099,39.2285714745522,0.928571462631226
28100,0,0.916666686534882,0.666666686534882,0.916666686534882,0.916666686534882,5.5,42.4166666865349,0.666666686534882
28200,0,3.43333338201046,0.833333358168602,3.43333338201046,3.43333338201046,15.6000000238419,72.4333333820105,0.833333358168602
28300,0,8.01666678488255,1.73333336412907,8.01666678488255,8.01666678488255,34.2000000178814,33.2833333611488,1.73333336412907
28400,0,1.26190480589867,1.26190480589867,1.26190480589867,10.761904835701,28.7619048207998,53.4285714924335,1.26190480589867
28500,0,0.933333352208138,0.933333352208138,0.933333352208138,22.600000038743,54.0000000298023,6.66666668653488,0.933333352208138
28600,0,1.50000002980232,1.50000002980232,1.50000002980232,12.0000000298023,76.5000000149012,0.5,1.50000002980232
28700,0,1.23333336412907,1.23333336412907,1.23333336412907,7.73333336412907,81.3333333581686,0,1.23333336412907
28800,0,0,0,0,4,63.5,3.5,0
28900,0,0.16666667163372,0.16666667163372,0.16666667163372,7.66666667163372,71.1666666716337,1.5,0.16666667163372
29000,0,0.366666674613953,0.366666674613953,0.366666674613953,6.86666667461395,66.6666666716337,1,0.366666674613953
29100,0,0.400000005960464,0.400000005960464,0.400000005960464,13.9000000059605,46,3.5,0.400000005960464
29200,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,63.1666666716337,1,0.16666667163372
29300,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,52.5,10.5,0.200000002980232
29400,0,0,0,0,0,57,11,0
29500,0,0,0,0,0,46.5,24.5,0
29600,0,0.25,0.25,0.25,0,68,18,0.25
29700,0,0,0,0,0,31.5,38.5,0
29800,0,0,0,0,0,6,55,0
29900,0,0,0,0,0,8,61,0
30000,0,0,0,0,0,13,51,0
30100,0,0,0,0,0,8.5,43.5,0
30200,0,0,0,0,0,12,21,0
30300,0,0,0,0,0,9.5,15.5,0
30400,0,0,0,0,0,3.5,11.5,0
30500,0,0,0,0,0,21,11,0
30600,0,0,0,0,1,48.5,5.5,0
30700,0,0,0,0,2.83333334326744,57.8333333432674,4.33333334326744,0
30800,0,0.400000005960464,0.400000005960464,0.400000005960464,3.90000000596046,41,0.5,0.400000005960464
30900,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,48,6,0.200000002980232
31000,0,0.333333343267441,0.333333343267441,0.333333343267441,0.333333343267441,81.8333333432674,4.5,0.333333343267441
31100,0,0,0,0,7.16666668653488,52.6666666865349,20.1666666865349,0
31200,0,0,0,0,1.5,64,16.5,0
31300,0,0.200000002980232,0.200000002980232,0.200000002980232,0.5,60.7000000029802,7,0.200000002980232
31400,0,0,0,0,0,67.5,9.5,0
31500,0,1.16666668653488,0,0,0.333333343267441,76.6666666865349,10.8333333432674,0
31600,0,0,0,0,0,48.5,10.5,0
31700,0,0.583333343267441,0,0,1.08333334326744,51.25,14.0833333432674,0
31800,0,0.200000002980232,0.200000002980232,0.200000002980232,0,8.5,26.7000000029802,0.200000002980232
31900,0,0.200000002980232,0.200000002980232,0.200000002980232,0,13,12.2000000029802,0.200000002980232
32000,0,0,0,0,0,33,24,0
32100,0,0,0,0,0,13.5,12.5,0
32200,0,0,0,0,0,15,15,0
32300,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,1.5,17.6666666716337,0.16666667163372
32400,0,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,49.5,15.5,0.200000002980232
32500,0,0,0,0,0,42.5,24.5,0
32600,0,0,0,0,0,64,0,0
32700,0,0,0,0,0,59.5,23.5,0
32800,0,0.25,0.25,0.25,0,73.5,11.5,0.25
32900,0,0.25,0.25,0.25,0,87,11,0.25
33000,0,0,0,0,0,69.5,28.5,0
33100,0,0,0,0,0,69.5,28.5,0
33200,0,0.850000008940697,0.850000008940697,0.850000008940697,0,19.4000000059605,73.2000000029802,0.850000008940697
33300,0,0,0,0,0,31.5,68.5,0
33400,0,0,0,0,0,24.5,74.5,0
33500,0,0,0,0,0,42,58,0
33600,0,0,0,0,0,18,82,0
33700,0,0.566666677594185,0.566666677594185,0.566666677594185,0.16666667163372,50.0666666775942,46.5,0.566666677594185
33800,0,0.676190495491028,0.676190495491028,0.676190495491028,0.976190492510796,72.5095238387585,23.8095238357782,0.676190495491028
33900,0,0.200000002980232,0.200000002980232,0.200000002980232,0.833333343267441,79.0333333462477,19.3333333432674,0.200000002980232
34000,0,0.25,0.25,0.25,1,49.5,48.5,0.25
34100,0,0.533333346247673,0.533333346247673,0.533333346247673,4.36666668951511,24.0000000149012,67.5000000149012,0.533333346247673
34200,0,0.200000002980232,0.200000002980232,0.200000002980232,41.5333334356546,9.33333343267441,42.3333334326744,0.200000002980232
34300,0,0,0,0,15.0000000596046,17.5000000596046,65.5000000596046,0
34400,0,0.200000002980232,0.200000002980232,0.200000002980232,10.03333337605,13.8333333730698,48.3333333730698,0.200000002980232
34500,0,0,0,0,0.333333343267441,3.33333334326744,81.3333333432674,0
34600,0,0,0,0,0.333333343267441,2.83333334326744,79.8333333432674,0
34700,0,0,0,0,0,1.5,85.5,0
34800,0,0,0,0,0,2.5,82.5,0
34900,0,0,0,0,1,2.5,73.5,0
35000,0,0,0,0,0,3.5,79.5,0
35100,0,0,0,0,0,1.5,75.5,0
35200,0,0.650000005960464,0.650000005960464,0.650000005960464,0.200000002980232,3,62.2000000029802,0.650000005960464
35300,0,3.70000003278255,3.70000003278255,3.70000003278255,0.933333352208138,1.66666667163372,54.6000000238419,3.70000003278255
35400,0,0,0,0,0,1,27,0
35500,0,0.392857149243355,0.392857149243355,0.392857149243355,0.142857149243355,0.142857149243355,2.14285714924335,0.392857149243355
35600,0,0,0,0,0,0.5,4.5,0
35700,0,0,0,0,0,0.5,0.5,0
35800,0,0,0,0,0,0,0,0
35900,0,0,0,0,0,0.5,0.5,0
36000,0,0,0,0,0,0,0,0
36100,0,0,0,0,0,2.5,0.5,0
36200,0,0,0,0,0,24,1,0
36300,0,0,0,0,1.50000002980232,79.0000000298023,19.5000000298023,0
36400,0,0.61904764175415,1.95238099992275,1.95238099992275,12.7857144325972,63.7857144325972,16.9523810744286,1.95238099992275
36500,0,0.595238119363785,1.72857147455215,1.72857147455215,13.7285715639591,64.7285715639591,15.7619048804045,1.72857147455215
36600,0,12.3261906504631,9.176190584898,9.176190584898,5.99285723268986,45.5928573608398,8.55952394008636,9.176190584898
36700,0,13.5761906504631,7.55952391028404,7.55952391028404,3.87619052827358,51.2261906862259,8.64285729825497,7.55952391028404
36800,0,1.70000001788139,1.18333335220814,1.18333335220814,1.40000002086163,37.350000038743,4.00000002980232,1.18333335220814
36900,0,4.55952394008636,1.64285719394684,1.64285719394684,1.72619052231312,10.3928573131561,10.3928573131561,1.64285719394684
37000,0,4.00000010430813,1.50000004470348,1.50000004470348,1.83333337306976,17.8333334773779,17.8333334773779,1.50000004470348
37100,0,2.30952386558056,0.809523835778236,0.809523835778236,0.976190492510796,12.642857208848,12.642857208848,0.809523835778236
37200,0,0.666666686534882,0,0,0.333333343267441,7.00000002980232,7.00000002980232,0
37300,0,0.333333343267441,0,0,0.333333343267441,10.1666666865349,10.1666666865349,0
37400,0,0,0,0,0,10,10,0
37500,0,0.25,0,0,0.25,5.75,5.75,0
37600,0,0.5,0,0,0.5,24,24,0
37700,0,0,0,0,0,7,61,0
37800,0,0,0,0,0,5.5,57.5,0
37900,0,0,0,0,0,6,45,0
38000,0,0,0,0,0,19.5,80.5,0
38100,0,0.142857149243355,0.342857152223587,0.342857152223587,0.342857152223587,23.6428571492434,74.8428571522236,0.342857152223587
38200,0,0,0,0,0,14,86,0
38300,0,0.142857149243355,0.342857152223587,0.342857152223587,0.342857152223587,21.1428571492434,77.3428571522236,0.342857152223587
38400,0,0.16666667163372,0.500000014901161,0.500000014901161,0.500000014901161,12.8333333432674,85.0000000149012,0.500000014901161
38500,0,0.28571429848671,1.11904765665531,1.11904765665531,1.11904765665531,13.6190476566553,13.6190476566553,1.11904765665531
38600,0,0.428571447730064,0.928571462631226,0.928571462631226,0.928571462631226,16.9285714626312,16.9285714626312,0.928571462631226
38700,0,0.28571429848671,0.785714313387871,0.785714313387871,0.785714313387871,18.2857143133879,18.2857143133879,0.785714313387871
38800,0,0.53571429848671,0.28571429848671,0.28571429848671,0.53571429848671,6.03571429848671,6.03571429848671,0.28571429848671
38900,0,0,0,0,0,9,9,0
